Verbs
いる
ある
する
なる
来る
思う
行く
出来る
しまう
くれる
見る
出る
分かる
考える
足る
入る
取る
すぎる
かかる
帰る
かける
あげる
知る
つける
入れる
戻る
答える
困る
続ける
感じる
得る
なさる
走る
受ける
守る
食べる
作る
見せる
逃げる
上げる
おっしゃる
いらっしゃる
残る
聞こえる
生きる
始める
思える
落ちる
与える
終わる
です
言う
送る
持つ
待つ
会う
呼ぶ
置く
着く
使う
学ぶ
飲む
込む
出す
直す
過ぎる
忘れる
残す
切る
罵る
足す
加える
認める
現れる
寄る
志す
襲う
侍る
目立つ
避ける
焼く
禁じる
浴びる
居る
魂消る
基づく
眩む
生まれる
折れる
焦げる
直る
決まる
負ける
異なる
違う
外れる
足りる
抜ける
見つかる
喜ぶ
脂ぎる
焦る
遅れる
怠ける
無くなる
間違う
混じる
次ぐ
重なる
儲かる
迷う
悲しむ
助かる
売れる
驚く
見える
劣る
霞む
汚れる
乾く
空く
固まる
痛む
流行る
強まる
濡れる
始まる
信じる
曲げる
捻る
噛む
咲く
吹く
乗る
威張る
沸く
借りる
切れる
壊す
沸かす
立てる
焼ける
買う
構う
運ぶ
担ぐ
挟む
祝う
変える
変わる
追う
喋る
調べる
選ぶ
食い違う
晴れる
登る
閉まる
崩れる
取れる
解ける
参る
慰める
言いつける
通う
比べる
凝らす
続く
冷える
冷やす
数える
渡る
越す
砕く
泣く
踊る
腐る
偽る
決める
定める
飾る
減る
負かす
喜ばす
届ける
言い表す
崩す
滅ぼす
死ぬ
掘る
話し合う
嫌がる
降ろす
乾かす
干す
抱く
励ます
楽しむ
優れる
長ける
取り換える
抜く
向かう
眠る
転ぶ
倒れる
降る
惚れる
下がる
散る
怖がる
恐れる
沈む
見つける
片付ける
釣る
流れる
畳む
並ぶ
集まる
集める
仰ぐ
怒る
壊れる
着換える
曇る
太る
降りる
疲れる
起きる
馴染む
慣れる
暖まる
呉れる
返す
睨む
齧る
進む
狂う
出かける
回る
通る
上がる
握る
迎える
生える
暮れる
静まる
生やす
育つ
渡す
掛ける
有る
助ける
手伝う
隠れる
隠す
妨げる
仄めかす
抱える
急ぐ
増やす
増える
示す
苦しませる
吸う
招く
誘う
加わる
飛ぶ
飼う
蹴る
殺す
笑う
伏せる
連れる
漏らす
漏れる
傾く
習う
貸す
逃がす
寄せる
通おす
枯らす
舐める
臥せる
好む
限る
並べる
聞く
暮らす
住む
見做す
落とす
失う
無くす
可愛がる
下げる
間違える
騒ぐ
污す
拵える
稼ぐ
合う
熟す
溶かす
溶ける
どじる
混ぜる
動く
要る
知らせる
起こる
開ける
開く
見逃す
倒す
塗る
慌てる
別れる
払う
滅びる
口説く
拾う
重ねる
企てる
遊ぶ
弾く
企む
刺す
突く
磨く
流がす
褒める
祈る
儲ける
庇う
引く
殴る
押す
乗　せる
履く
掲げる
届く
及ぶ
読む
貰う
減らす
断わる
惜しむ
覚える
外す
繰り返す
頼む
求める
救う
似る
休む
抑える
戻す
実る
満たす
蓄える
叱る
探す
売る
気付く
離れる
離す
光る
輝く
現す
閉める
歌う
座る
腰掛ける
寝る
滑る
話す
過ごす
言いふらす
敷く
広まる
広める
頑張る
見張る
構える
立つ
泊まる
盗む
踏む
張る
止まる
黙る
止める
強める
固める
励む
苦しむ
言い出す
適う
支える
囲む
泳ぐ
引き受ける
脱ぐ
関わる
掛かる
言い換える
教える
冷やかす
戒める
練る
試す
思いつく
投げる
捨てる
縛る
結ぶ
育てる
虐める
触れる
触る
乗り換える
騙す
消す
点ける
曲がる
回 わす
捩じる
組む
解く
消える
起こす
歩く
欲しがる
洗う
眺める
着る
被る
勝つ
枯れる
働く
勤める
気遣う
祀る
傷つける
包む
書く
