,Unnamed: 0,language,infinitive,subject,answer,kana,romaji,en_mood,en_tense,es_tense,pt_tense,es_mood,pt_mood
69,69,japanese,来る,,来なかった,こなかった,konakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
70,70,japanese,来る,,来て,きて,kite,normal,て (te),て (te),て (te),normal,normal
71,71,japanese,来る,,きたい,きたい,kitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
72,72,japanese,来る,,来よう,こよう,koyou,normal,volitional,volitivo,volitivo,normal,normal
73,73,japanese,来る,,来い,こい,koi,normal,imperative,imperativo,imperativo,normal,normal
74,74,japanese,来る,,来られる,こられる,korareru,normal,passive,pasivo,passivo,normal,normal
75,75,japanese,来る,,来たら,きたら,kitara,normal,conditional,condicional,condicional,normal,normal
76,76,japanese,来る,,来れば,くれば,kureba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
77,77,japanese,来る,,来させる,こさせる,kosaseru,normal,causative,causativo,condicional,normal,normal
78,78,japanese,来る,,来られる,こられる,korareru,normal,potential,potencial,potencial,normal,normal
79,79,japanese,来る,,きます,きます,kimasu,polite,present,presente,presente,educado,educado
80,80,japanese,来る,,きません,きません,kimasen,polite,negative,negativo,negativo,educado,educado
81,81,japanese,来る,,きました,きました,kimashita,polite,past,pasado,passado,educado,educado
82,82,japanese,来る,,きませんでした,きませんでした,kimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
83,83,japanese,来る,,きまして,きまして,kimashite,polite,て (te),て (te),て (te),educado,educado
84,84,japanese,来る,,きたいです,きたいです,kitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
85,85,japanese,来る,,きましょう,きましょう,kimashou,polite,volitional,volitivo,volitivo,educado,educado
86,86,japanese,来る,,きませ,きませ,kimase,polite,imperative,imperativo,imperativo,educado,educado
87,87,japanese,来る,,来られます,こられます,koraremasu,polite,passive,pasivo,passivo,educado,educado
88,88,japanese,思う,,思う,おもう,omou,normal,present,presente,presente,normal,normal
89,89,japanese,思う,,思わない,おもわない,omowanai,normal,negative,negativo,negativo,normal,normal
90,90,japanese,思う,,思った,おもった,omotta,normal,past,pasado,passado,normal,normal
91,91,japanese,思う,,思わなかった,おもわなかった,omowanakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
92,92,japanese,思う,,思って,おもって,omotte,normal,て (te),て (te),て (te),normal,normal
93,93,japanese,思う,,思いたい,おもいたい,omoitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
94,94,japanese,思う,,思おう,おもおう,omoou,normal,volitional,volitivo,volitivo,normal,normal
95,95,japanese,思う,,思え,おもえ,omoe,normal,imperative,imperativo,imperativo,normal,normal
96,96,japanese,思う,,思われる,おもわれる,omowareru,normal,passive,pasivo,passivo,normal,normal
97,97,japanese,思う,,思ったら,おもったら,omottara,normal,conditional,condicional,condicional,normal,normal
98,98,japanese,思う,,思えば,おもえば,omoeba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
99,99,japanese,思う,,思わせる,おもわせる,omowaseru,normal,causative,causativo,condicional,normal,normal
100,100,japanese,思う,,思える,おもえる,omoeru,normal,potential,potencial,potencial,normal,normal
101,101,japanese,思う,,思います,おもいます,omoimasu,polite,present,presente,presente,educado,educado
102,102,japanese,思う,,思いません,おもいません,omoimasen,polite,negative,negativo,negativo,educado,educado
103,103,japanese,思う,,思いました,おもいました,omoimashita,polite,past,pasado,passado,educado,educado
104,104,japanese,思う,,思いませんでした,おもいませんでした,omoimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
105,105,japanese,思う,,思いまして,おもいまして,omoimashite,polite,て (te),て (te),て (te),educado,educado
106,106,japanese,思う,,思いたいです,おもいたいです,omoitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
107,107,japanese,思う,,思いましょう,おもいましょう,omoimashou,polite,volitional,volitivo,volitivo,educado,educado
108,108,japanese,思う,,思いませ,おもいませ,omoimase,polite,imperative,imperativo,imperativo,educado,educado
109,109,japanese,思う,,思われます,おもわれます,omowaremasu,polite,passive,pasivo,passivo,educado,educado
110,110,japanese,行く,,行く,いく,iku,normal,present,presente,presente,normal,normal
111,111,japanese,行く,,行かない,いかない,ikanai,normal,negative,negativo,negativo,normal,normal
112,112,japanese,行く,,行った,いった,itta,normal,past,pasado,passado,normal,normal
113,113,japanese,行く,,行かなかった,いかなかった,ikanakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
114,114,japanese,行く,,行って,いって,itte,normal,て (te),て (te),て (te),normal,normal
115,115,japanese,行く,,行きたい,いきたい,ikitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
116,116,japanese,行く,,行こう,いこう,ikou,normal,volitional,volitivo,volitivo,normal,normal
117,117,japanese,行く,,行け,いけ,ike,normal,imperative,imperativo,imperativo,normal,normal
118,118,japanese,行く,,行かれる,いかれる,ikareru,normal,passive,pasivo,passivo,normal,normal
119,119,japanese,行く,,行ったら,いったら,ittara,normal,conditional,condicional,condicional,normal,normal
120,120,japanese,行く,,行けば,いけば,ikeba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
121,121,japanese,行く,,行かせる,いかせる,ikaseru,normal,causative,causativo,condicional,normal,normal
122,122,japanese,行く,,行ける,いける,ikeru,normal,potential,potencial,potencial,normal,normal
123,123,japanese,行く,,行きます,いきます,ikimasu,polite,present,presente,presente,educado,educado
124,124,japanese,行く,,行きません,いきません,ikimasen,polite,negative,negativo,negativo,educado,educado
125,125,japanese,行く,,行きました,いきました,ikimashita,polite,past,pasado,passado,educado,educado
126,126,japanese,行く,,行きませんでした,いきませんでした,ikimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
127,127,japanese,行く,,行きまして,いきまして,ikimashite,polite,て (te),て (te),て (te),educado,educado
128,128,japanese,行く,,行きたいです,いきたいです,ikitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
129,129,japanese,行く,,行きましょう,いきましょう,ikimashou,polite,volitional,volitivo,volitivo,educado,educado
130,130,japanese,行く,,行きませ,いきませ,ikimase,polite,imperative,imperativo,imperativo,educado,educado
131,131,japanese,行く,,行かれます,いかれます,ikaremasu,polite,passive,pasivo,passivo,educado,educado
132,132,japanese,出来る,,出来る,できる,dekiru,normal,present,presente,presente,normal,normal
133,133,japanese,出来る,,出来ない,できない,dekinai,normal,negative,negativo,negativo,normal,normal
134,134,japanese,出来る,,出来た,できた,dekita,normal,past,pasado,passado,normal,normal
135,135,japanese,出来る,,出来なかった,できなかった,dekinakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
136,136,japanese,出来る,,出来て,できて,dekite,normal,て (te),て (te),て (te),normal,normal
137,137,japanese,出来る,,出来たい,できたい,dekitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
138,138,japanese,出来る,,出来よう,できよう,dekiyou,normal,volitional,volitivo,volitivo,normal,normal
139,139,japanese,出来る,,出来ろ,できろ,dekiro,normal,imperative,imperativo,imperativo,normal,normal
140,140,japanese,出来る,,出来られる,できられる,dekirareru,normal,passive,pasivo,passivo,normal,normal
141,141,japanese,出来る,,出来たら,できたら,dekitara,normal,conditional,condicional,condicional,normal,normal
142,142,japanese,出来る,,出来れば,できれば,dekireba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
143,143,japanese,出来る,,出来させる,できさせる,dekisaseru,normal,causative,causativo,condicional,normal,normal
144,144,japanese,出来る,,出来られる,できられる,dekirareru,normal,potential,potencial,potencial,normal,normal
145,145,japanese,出来る,,出来ます,できます,dekimasu,polite,present,presente,presente,educado,educado
146,146,japanese,出来る,,出来ません,できません,dekimasen,polite,negative,negativo,negativo,educado,educado
147,147,japanese,出来る,,出来ました,できました,dekimashita,polite,past,pasado,passado,educado,educado
148,148,japanese,出来る,,出来ませんでした,できませんでした,dekimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
149,149,japanese,出来る,,出来まして,できまして,dekimashite,polite,て (te),て (te),て (te),educado,educado
150,150,japanese,出来る,,出来たいです,できたいです,dekitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
151,151,japanese,出来る,,出来ましょう,できましょう,dekimashou,polite,volitional,volitivo,volitivo,educado,educado
152,152,japanese,出来る,,出来ませ,できませ,dekimase,polite,imperative,imperativo,imperativo,educado,educado
153,153,japanese,出来る,,出来られます,できられます,dekiraremasu,polite,passive,pasivo,passivo,educado,educado
154,154,japanese,しまう,,しまう,しまう,shimau,normal,present,presente,presente,normal,normal
155,155,japanese,しまう,,しまわない,しまわない,shimawanai,normal,negative,negativo,negativo,normal,normal
156,156,japanese,しまう,,しまった,しまった,shimatta,normal,past,pasado,passado,normal,normal
157,157,japanese,しまう,,しまわなかった,しまわなかった,shimawanakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
158,158,japanese,しまう,,しまって,しまって,shimatte,normal,て (te),て (te),て (te),normal,normal
159,159,japanese,しまう,,しまいたい,しまいたい,shimaitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
160,160,japanese,しまう,,しまおう,しまおう,shimaou,normal,volitional,volitivo,volitivo,normal,normal
161,161,japanese,しまう,,しまえ,しまえ,shimae,normal,imperative,imperativo,imperativo,normal,normal
162,162,japanese,しまう,,しまわれる,しまわれる,shimawareru,normal,passive,pasivo,passivo,normal,normal
163,163,japanese,しまう,,しまったら,しまったら,shimattara,normal,conditional,condicional,condicional,normal,normal
164,164,japanese,しまう,,しまえば,しまえば,shimaeba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
165,165,japanese,しまう,,しまわせる,しまわせる,shimawaseru,normal,causative,causativo,condicional,normal,normal
166,166,japanese,しまう,,しまえる,しまえる,shimaeru,normal,potential,potencial,potencial,normal,normal
167,167,japanese,しまう,,しまいます,しまいます,shimaimasu,polite,present,presente,presente,educado,educado
168,168,japanese,しまう,,しまいません,しまいません,shimaimasen,polite,negative,negativo,negativo,educado,educado
169,169,japanese,しまう,,しまいました,しまいました,shimaimashita,polite,past,pasado,passado,educado,educado
170,170,japanese,しまう,,しまいませんでした,しまいませんでした,shimaimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
171,171,japanese,しまう,,しまいまして,しまいまして,shimaimashite,polite,て (te),て (te),て (te),educado,educado
172,172,japanese,しまう,,しまいたいです,しまいたいです,shimaitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
173,173,japanese,しまう,,しまいましょう,しまいましょう,shimaimashou,polite,volitional,volitivo,volitivo,educado,educado
174,174,japanese,しまう,,しまいませ,しまいませ,shimaimase,polite,imperative,imperativo,imperativo,educado,educado
175,175,japanese,しまう,,しまわれます,しまわれます,shimawaremasu,polite,passive,pasivo,passivo,educado,educado
176,176,japanese,くれる,,くれる,くれる,kureru,normal,present,presente,presente,normal,normal
177,177,japanese,くれる,,くれない,くれない,kurenai,normal,negative,negativo,negativo,normal,normal
178,178,japanese,くれる,,くれた,くれた,kureta,normal,past,pasado,passado,normal,normal
179,179,japanese,くれる,,くれなかった,くれなかった,kurenakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
180,180,japanese,くれる,,くれて,くれて,kurete,normal,て (te),て (te),て (te),normal,normal
181,181,japanese,くれる,,くれたい,くれたい,kuretai,normal,たい (tai),たい (tai),たい (tai),normal,normal
182,182,japanese,くれる,,くれよう,くれよう,kureyou,normal,volitional,volitivo,volitivo,normal,normal
183,183,japanese,くれる,,くれろ,くれろ,kurero,normal,imperative,imperativo,imperativo,normal,normal
184,184,japanese,くれる,,くれられる,くれられる,kurerareru,normal,passive,pasivo,passivo,normal,normal
185,185,japanese,くれる,,くれたら,くれたら,kuretara,normal,conditional,condicional,condicional,normal,normal
186,186,japanese,くれる,,くれれば,くれれば,kurereba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
187,187,japanese,くれる,,くれさせる,くれさせる,kuresaseru,normal,causative,causativo,condicional,normal,normal
188,188,japanese,くれる,,くれられる,くれられる,kurerareru,normal,potential,potencial,potencial,normal,normal
189,189,japanese,くれる,,くれます,くれます,kuremasu,polite,present,presente,presente,educado,educado
190,190,japanese,くれる,,くれません,くれません,kuremasen,polite,negative,negativo,negativo,educado,educado
191,191,japanese,くれる,,くれました,くれました,kuremashita,polite,past,pasado,passado,educado,educado
192,192,japanese,くれる,,くれませんでした,くれませんでした,kuremasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
193,193,japanese,くれる,,くれまして,くれまして,kuremashite,polite,て (te),て (te),て (te),educado,educado
194,194,japanese,くれる,,くれたいです,くれたいです,kuretaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
195,195,japanese,くれる,,くれましょう,くれましょう,kuremashou,polite,volitional,volitivo,volitivo,educado,educado
196,196,japanese,くれる,,くれませ,くれませ,kuremase,polite,imperative,imperativo,imperativo,educado,educado
197,197,japanese,くれる,,くれられます,くれられます,kureraremasu,polite,passive,pasivo,passivo,educado,educado
198,198,japanese,見る,,見る,みる,miru,normal,present,presente,presente,normal,normal
199,199,japanese,見る,,見ない,みない,minai,normal,negative,negativo,negativo,normal,normal
200,200,japanese,見る,,見た,みた,mita,normal,past,pasado,passado,normal,normal
201,201,japanese,見る,,見なかった,みなかった,minakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
202,202,japanese,見る,,見て,みて,mite,normal,て (te),て (te),て (te),normal,normal
203,203,japanese,見る,,見たい,みたい,mitai,normal,たい (tai),たい (tai),たい (tai),normal,normal
204,204,japanese,見る,,見よう,みよう,miyou,normal,volitional,volitivo,volitivo,normal,normal
205,205,japanese,見る,,見ろ,みろ,miro,normal,imperative,imperativo,imperativo,normal,normal
206,206,japanese,見る,,見られる,みられる,mirareru,normal,passive,pasivo,passivo,normal,normal
207,207,japanese,見る,,見たら,みたら,mitara,normal,conditional,condicional,condicional,normal,normal
208,208,japanese,見る,,見れば,みれば,mireba,normal,provisional conditional,condicional provisional,condicional provisional,normal,normal
209,209,japanese,見る,,見させる,みさせる,misaseru,normal,causative,causativo,condicional,normal,normal
210,210,japanese,見る,,見られる,みられる,mirareru,normal,potential,potencial,potencial,normal,normal
211,211,japanese,見る,,見ます,みます,mimasu,polite,present,presente,presente,educado,educado
212,212,japanese,見る,,見ません,みません,mimasen,polite,negative,negativo,negativo,educado,educado
213,213,japanese,見る,,見ました,みました,mimashita,polite,past,pasado,passado,educado,educado
214,214,japanese,見る,,見ませんでした,みませんでした,mimasendeshita,polite,past negative,pasado negativo,passado negativo,educado,educado
215,215,japanese,見る,,見まして,みまして,mimashite,polite,て (te),て (te),て (te),educado,educado
216,216,japanese,見る,,見たいです,みたいです,mitaidesu,polite,たい (tai),たい (tai),たい (tai),educado,educado
217,217,japanese,見る,,見ましょう,みましょう,mimashou,polite,volitional,volitivo,volitivo,educado,educado
218,218,japanese,見る,,見ませ,みませ,mimase,polite,imperative,imperativo,imperativo,educado,educado
219,219,japanese,見る,,見られます,みられます,miraremasu,polite,passive,pasivo,passivo,educado,educado
220,220,japanese,出る,,出る,でる,deru,normal,present,presente,presente,normal,normal
221,221,japanese,出る,,出ない,でない,denai,normal,negative,negativo,negativo,normal,normal
222,222,japanese,出る,,出た,でた,deta,normal,past,pasado,passado,normal,normal
223,223,japanese,出る,,出なかった,でなかった,denakatta,normal,past negative,pasado negativo,passado negativo,normal,normal
224,224,japanese,出る,,出て,でて,dete,normal,て (te),て (te),て (te),normal,normal
225,225,japanese,出る,,出たい,でたい,detai,normal,たい (tai),たい (tai),たい (tai),normal,normal
226,226,japanese,出る,,出よう,でよう,deyou,normal,volitional,volitivo,volitivo,normal,normal
227,227,japanese,出る,,出ろ,でろ,dero,normal,imperative,imperativo,imperativo,normal,normal
228,228,japanese,出る,,出られる,でられる,derareru,normal,passive,pasivo,passivo,normal,normal
